Date	Open	High	Low	Close	Volume
06/22/15	"2,112.50"	"2,129.87"	"2,112.50"	"2,122.85"	"468,228,023"
06/19/15	"2,121.03"	"2,121.64"	"2,109.38"	"2,109.99"	"1,255,422,639"
06/18/15	"2,101.58"	"2,126.65"	"2,101.58"	"2,121.24"	"544,428,661"
06/17/15	"2,097.40"	"2,106.79"	"2,088.86"	"2,100.44"	"480,805,890"
06/16/15	"2,084.26"	"2,097.40"	"2,082.10"	"2,096.29"	"410,710,293"
06/15/15	"2,091.34"	"2,091.34"	"2,072.49"	"2,084.43"	"504,787,125"
06/12/15	"2,107.43"	"2,107.43"	"2,091.33"	"2,094.11"	"449,503,626"
06/11/15	"2,106.24"	"2,115.02"	"2,106.24"	"2,108.86"	"529,774,046"
06/10/15	"2,081.12"	"2,108.50"	"2,081.12"	"2,105.20"	"507,555,252"
06/09/15	"2,079.07"	"2,085.62"	"2,072.14"	"2,080.15"	"488,823,113"
06/08/15	"2,092.34"	"2,093.01"	"2,079.11"	"2,079.28"	"488,323,296"
06/05/15	"2,095.09"	"2,100.99"	"2,085.67"	"2,092.83"	"559,311,850"
06/04/15	"2,112.35"	"2,112.89"	"2,093.23"	"2,095.84"	"521,557,720"
06/03/15	"2,110.64"	"2,121.92"	"2,109.61"	"2,114.07"	"464,527,279"
06/02/15	"2,110.41"	"2,117.59"	"2,099.14"	"2,109.60"	"471,166,195"
06/01/15	"2,108.64"	"2,119.15"	"2,102.54"	"2,111.73"	"488,083,175"
05/29/15	"2,120.66"	"2,120.66"	"2,104.89"	"2,107.39"	"760,129,761"
05/28/15	"2,122.27"	"2,122.27"	"2,112.86"	"2,120.79"	"434,135,669"
05/27/15	"2,105.13"	"2,126.22"	"2,105.13"	"2,123.48"	"511,248,450"
05/26/15	"2,125.34"	"2,125.34"	"2,099.18"	"2,104.20"	"557,833,108"
05/22/15	"2,130.36"	"2,132.15"	"2,126.06"	"2,126.06"	"423,419,513"
05/21/15	"2,125.55"	"2,134.28"	"2,122.95"	"2,130.82"	"468,557,139"
05/20/15	"2,127.79"	"2,134.72"	"2,122.59"	"2,125.85"	"477,723,201"
05/19/15	"2,129.45"	"2,133.02"	"2,124.50"	"2,127.83"	"493,349,176"
05/18/15	"2,121.30"	"2,131.78"	"2,120.01"	"2,129.20"	"444,239,990"
05/15/15	"2,122.07"	"2,123.89"	"2,116.79"	"2,122.73"	"609,123,759"
05/14/15	"2,100.43"	"2,121.45"	"2,100.43"	"2,121.10"	"477,949,241"
05/13/15	"2,099.62"	"2,110.19"	"2,096.04"	"2,098.48"	"473,510,272"
05/12/15	"2,102.87"	"2,105.06"	"2,085.57"	"2,099.12"	"468,682,965"
05/11/15	"2,115.56"	"2,117.69"	"2,104.58"	"2,105.33"	"467,022,504"
05/08/15	"2,092.13"	"2,117.66"	"2,092.13"	"2,116.10"	"524,517,688"
05/07/15	"2,079.96"	"2,092.90"	"2,074.99"	"2,088.00"	"523,758,356"
05/06/15	"2,091.26"	"2,098.42"	"2,067.93"	"2,080.15"	"552,153,155"
05/05/15	"2,112.63"	"2,115.24"	"2,088.46"	"2,089.46"	"532,113,899"
05/04/15	"2,110.23"	"2,120.95"	"2,110.23"	"2,114.49"	"458,688,406"
05/01/15	"2,087.38"	"2,108.41"	"2,087.38"	"2,108.29"	"509,568,789"
04/30/15	"2,105.52"	"2,105.52"	"2,077.59"	"2,085.51"	"686,082,642"
04/29/15	"2,112.49"	"2,113.65"	"2,097.41"	"2,106.85"	"550,784,916"
04/28/15	"2,108.35"	"2,116.09"	"2,094.89"	"2,114.76"	"549,650,994"
04/27/15	"2,119.29"	"2,125.92"	"2,107.04"	"2,108.92"	"590,999,229"
04/24/15	"2,112.80"	"2,120.92"	"2,112.80"	"2,117.69"	"555,376,586"
04/23/15	"2,107.21"	"2,120.49"	"2,103.19"	"2,112.93"	"566,843,506"
04/22/15	"2,098.27"	"2,109.98"	"2,091.05"	"2,107.96"	"505,662,373"
04/21/15	"2,102.82"	"2,109.64"	"2,094.38"	"2,097.29"	"485,076,830"
04/20/15	"2,084.11"	"2,103.94"	"2,084.11"	"2,100.40"	"481,863,950"
04/17/15	"2,102.58"	"2,102.58"	"2,072.37"	"2,081.18"	"661,794,713"
04/16/15	"2,105.96"	"2,111.30"	"2,100.02"	"2,104.99"	"494,694,374"
04/15/15	"2,097.82"	"2,111.91"	"2,097.82"	"2,106.63"	"561,622,715"
04/14/15	"2,092.28"	"2,098.62"	"2,083.24"	"2,095.84"	"449,838,753"
04/13/15	"2,102.03"	"2,107.65"	"2,092.33"	"2,092.43"	"489,876,530"
04/10/15	"2,091.51"	"2,102.61"	"2,091.51"	"2,102.06"	"467,375,544"
04/09/15	"2,081.29"	"2,093.31"	"2,074.29"	"2,091.18"	"473,659,522"
04/08/15	"2,076.94"	"2,086.69"	"2,073.30"	"2,081.90"	"488,249,204"
